tasks_completed_per_day,average_task_time_minutes,distance_travelled_km,payout_amount,customer_rating,login_hours_per_day,device_changes,location_changes,cancellation_rate,late_delivery_rate
18,13,49,526,3.56,5,1,2,0.05,0.07
24,26,74,2217,3.8,9,1,1,0.08,0.03
22,27,38,2682,4.46,5,1,2,0.1,0.07
14,29,39,1613,4.09,10,1,1,0.03,0.17
29,32,41,2753,4.41,10,0,2,0.09,0.1
6,11,19,1938,4.33,7,0,1,0.08,0.13
29,17,60,1102,4.16,10,0,0,0.06,0.16
37,22,17,1591,3.85,7,1,0,0.1,0.08
35,32,60,861,4.58,4,0,0,0.1,0.02
18,34,45,1783,4.86,8,0,1,0.15,0.08
5,39,64,1586,4.65,4,1,2,0.07,0.19
20,31,44,2515,3.68,9,1,2,0.08,0.11
7,29,45,1471,4.31,5,1,2,0.03,0.12
39,31,65,2215,4.75,9,1,0,0.09,0.16
10,24,45,2146,4.39,10,0,0,0.02,0.04
29,29,70,2226,4.16,6,0,2,0.03,0.15
17,32,71,1407,3.93,7,1,1,0.03,0.07
38,18,34,745,4.0,5,1,1,0.1,0.09
12,12,73,2825,3.86,10,1,2,0.09,0.07
25,12,69,846,3.79,4,0,2,0.12,0.05
38,11,66,2460,4.38,8,1,1,0.08,0.09
8,10,79,871,4.26,6,0,2,0.08,0.04
29,23,61,1308,4.6,8,1,1,0.03,0.17
19,26,65,2670,3.96,4,0,1,0.11,0.08
8,22,72,659,4.19,11,0,0,0.01,0.14
16,28,77,1650,4.52,4,1,0,0.07,0.07
36,39,29,1834,4.94,5,1,0,0.04,0.06
36,32,63,1017,4.02,10,1,2,0.12,0.15
32,24,10,1788,3.95,6,0,1,0.1,0.13
17,36,19,1245,4.17,9,0,2,0.11,0.06
35,34,32,2835,4.59,4,1,2,0.03,0.13
18,23,60,919,4.94,11,1,2,0.1,0.02
24,11,33,2051,4.3,11,0,1,0.11,0.05
22,16,22,639,4.72,5,1,0,0.01,0.15
33,26,38,2332,4.2,4,1,1,0.05,0.09
10,27,67,1206,3.56,5,0,1,0.02,0.06
36,15,52,1197,4.84,11,0,2,0.11,0.11
33,36,19,974,3.93,8,0,2,0.04,0.1
6,30,40,2160,3.71,5,0,0,0.05,0.13
27,17,23,2401,4.99,9,0,1,0.02,0.03
23,37,43,2936,4.02,8,1,0,0.08,0.17
35,36,26,1010,3.7,7,0,2,0.01,0.03
9,11,30,1037,3.97,4,0,2,0.13,0.1
23,10,76,2760,4.27,7,1,0,0.01,0.15
38,25,67,2036,3.63,6,1,0,0.02,0.08
14,16,17,1788,4.03,11,0,1,0.1,0.18
29,31,47,1866,4.5,7,0,0,0.14,0.16
6,33,35,1561,4.87,10,0,0,0.13,0.1
15,20,73,732,4.1,5,0,1,0.02,0.05
35,24,39,2807,4.35,5,1,2,0.05,0.03
19,22,18,807,4.45,11,1,1,0.08,0.16
13,39,41,902,3.61,6,0,2,0.01,0.05
27,33,20,1496,4.01,6,1,2,0.08,0.07
23,11,43,1784,4.53,4,1,0,0.07,0.02
64,3,176,8638,1.9301865665465419,23,3,7,0.4295034677180489,0.44320913620189456
39,33,28,1249,4.03,10,1,0,0.14,0.06
25,15,63,1629,3.51,5,0,0,0.05,0.18
13,18,46,803,3.51,10,1,0,0.1,0.16
32,37,21,2890,4.31,10,0,2,0.07,0.16
11,16,13,1970,4.33,6,0,1,0.07,0.17
20,27,52,1561,4.33,10,0,0,0.1,0.05
20,33,36,1354,4.58,9,1,2,0.14,0.2
87,4,171,9790,2.0235890114060364,20,3,6,0.5168854152641189,0.46865883338797354
8,32,14,2245,4.99,7,1,1,0.1,0.05
8,13,15,2128,4.55,10,0,2,0.07,0.07
21,18,65,2803,4.27,5,1,1,0.07,0.12
33,13,77,2684,3.71,11,1,0,0.12,0.04
39,21,53,1754,4.08,10,0,2,0.04,0.15
11,13,24,1317,4.36,9,0,1,0.09,0.09
31,34,51,2237,5.0,11,0,0,0.08,0.12
32,39,20,1472,3.69,10,1,0,0.1,0.15
26,33,20,537,4.69,6,0,2,0.04,0.18
18,29,75,1678,5.0,10,0,0,0.11,0.17
11,23,36,604,4.71,11,1,1,0.1,0.12
26,33,67,754,4.65,4,1,0,0.04,0.2
9,33,30,2481,3.89,10,1,1,0.07,0.12
6,16,30,1090,3.51,9,0,1,0.11,0.12
31,35,10,1024,3.84,8,0,1,0.14,0.05
25,22,67,869,4.68,10,1,1,0.03,0.05
19,31,22,601,3.66,5,0,2,0.01,0.05
25,17,15,1163,3.94,10,0,1,0.03,0.13
14,32,67,1189,4.34,5,1,2,0.15,0.09
27,14,26,2426,4.37,10,1,2,0.12,0.09
9,21,21,2035,4.31,5,0,2,0.1,0.04
5,22,61,2936,4.97,5,1,0,0.03,0.09
17,38,79,2910,3.52,8,0,1,0.07,0.09
25,29,61,2528,4.23,8,1,0,0.11,0.13
30,23,46,1430,4.26,11,1,1,0.14,0.09
25,37,12,2356,3.94,9,0,2,0.06,0.1
22,27,17,2489,4.29,9,0,0,0.15,0.07
36,36,19,2890,4.51,4,0,0,0.03,0.04
21,33,56,2682,4.51,11,1,2,0.06,0.07
39,34,50,2385,3.63,5,0,2,0.13,0.03
15,29,73,1477,4.7,6,1,2,0.1,0.06
25,13,51,2494,4.9,10,0,0,0.12,0.08
30,30,52,879,3.69,7,0,2,0.14,0.05
8,27,18,2013,4.12,5,0,0,0.08,0.14
38,16,23,1648,4.27,9,0,1,0.04,0.07
22,24,13,2585,3.7,8,0,2,0.11,0.13
39,30,11,1280,4.26,4,0,0,0.09,0.14
33,15,10,809,3.81,5,0,2,0.12,0.1
33,25,74,2653,4.9,10,0,2,0.08,0.1
25,29,55,1055,4.17,4,1,0,0.12,0.12
17,33,68,896,4.99,6,1,0,0.14,0.07
21,17,16,2700,3.57,6,1,0,0.11,0.02
13,37,75,2383,3.69,6,0,2,0.11,0.14
5,30,24,1669,4.16,6,1,1,0.09,0.13
6,25,56,700,4.81,11,1,1,0.08,0.11
33,37,49,2390,4.33,7,0,2,0.15,0.18
37,31,51,511,4.6,4,0,2,0.1,0.11
61,2,152,8674,1.4848213040094862,17,3,9,0.6347142416839036,0.6234148197827932
25,12,44,2476,3.56,7,1,1,0.08,0.15
32,26,50,1825,4.47,5,1,1,0.09,0.19
15,18,66,2395,4.45,8,1,1,0.1,0.15
38,34,47,1419,3.61,10,0,0,0.11,0.18
12,12,17,2647,3.76,9,0,1,0.07,0.04
26,29,72,1370,4.21,7,1,0,0.06,0.04
12,38,13,865,4.17,9,1,2,0.04,0.05
19,16,57,1156,4.63,7,1,0,0.07,0.15
21,27,61,660,4.08,9,1,2,0.04,0.09
27,21,47,674,4.49,11,0,1,0.07,0.11
28,28,14,2003,4.56,10,0,2,0.13,0.07
23,25,79,1044,4.47,9,1,2,0.15,0.15
9,31,33,2830,4.39,8,0,2,0.09,0.17
36,36,26,2261,4.71,9,1,0,0.03,0.05
5,33,35,1456,4.49,7,1,0,0.07,0.05
27,26,12,951,4.75,9,1,0,0.09,0.08
12,29,11,581,4.46,4,0,2,0.06,0.07
17,24,11,1736,3.74,10,0,2,0.04,0.12
12,10,31,1315,3.96,9,1,2,0.04,0.16
27,11,13,2681,4.0,6,1,1,0.08,0.16
5,17,47,946,3.64,10,0,0,0.04,0.06
28,31,79,2665,4.54,10,0,1,0.04,0.05
39,34,61,2119,4.39,11,1,1,0.13,0.09
28,11,40,2293,4.38,9,1,1,0.12,0.05
21,28,35,1248,4.22,5,1,2,0.02,0.04
9,18,45,1673,4.31,8,1,0,0.05,0.06
24,18,35,2409,3.51,6,0,1,0.08,0.09
25,22,37,2056,3.64,11,0,0,0.02,0.13
35,15,14,1145,4.53,7,0,0,0.11,0.15
15,39,27,878,3.89,4,0,2,0.06,0.06
19,24,24,1640,3.66,9,0,1,0.07,0.17
23,28,66,1436,3.99,9,0,2,0.05,0.03
84,4,198,7187,1.7457547625584526,19,4,8,0.453980341201043,0.5824618812317308
32,24,46,1161,3.54,11,0,1,0.13,0.13
9,27,31,1840,4.12,8,1,0,0.12,0.07
9,16,61,1375,3.54,11,0,0,0.14,0.14
64,4,218,7594,1.3458611274545675,21,3,5,0.516412216460522,0.5976227976765843
36,20,26,1613,4.69,4,0,1,0.09,0.04
12,17,60,887,3.97,10,0,2,0.05,0.11
14,15,54,2630,4.35,11,1,2,0.1,0.02
36,17,72,2419,3.95,9,1,0,0.14,0.07
32,11,37,895,4.9,10,1,1,0.02,0.04
21,28,68,1139,4.59,7,0,1,0.07,0.13
35,25,30,599,4.05,10,0,1,0.03,0.06
12,16,51,956,3.82,7,0,2,0.12,0.07
29,19,78,2522,3.71,9,1,2,0.1,0.06
13,21,26,2875,4.64,7,1,2,0.13,0.06
6,26,77,573,4.18,9,0,0,0.02,0.06
19,16,16,2639,3.85,11,0,2,0.14,0.15
7,31,49,2877,4.88,7,1,1,0.02,0.19
8,17,49,2363,4.09,10,0,0,0.05,0.11
18,16,52,674,4.32,4,1,1,0.03,0.13
29,13,60,2260,4.79,5,0,2,0.03,0.17
14,12,32,2862,4.75,6,1,1,0.03,0.11
25,28,41,996,4.46,8,1,0,0.08,0.07
16,24,40,1792,4.83,10,1,2,0.12,0.19
31,13,26,927,4.93,5,1,0,0.14,0.18
6,34,67,534,4.9,4,1,2,0.09,0.06
17,18,44,2666,4.02,8,0,0,0.03,0.15
36,22,39,1894,4.1,8,0,0,0.02,0.14
35,27,73,1880,3.86,9,1,1,0.08,0.14
20,30,62,2937,4.76,9,1,2,0.12,0.17
36,25,60,675,3.68,10,0,2,0.1,0.14
36,10,46,2653,4.03,7,1,2,0.09,0.11
38,13,15,1091,3.51,11,1,0,0.02,0.17
15,27,43,1686,4.39,11,1,1,0.07,0.07
14,17,65,1413,4.49,11,1,1,0.09,0.14
19,29,34,1790,3.87,6,0,2,0.09,0.15
21,25,22,2086,4.61,9,0,2,0.01,0.18
22,30,72,1802,4.07,6,0,0,0.04,0.2
13,20,75,1826,3.97,4,0,0,0.14,0.12
29,29,14,1452,4.93,9,1,0,0.08,0.11
18,30,20,1360,4.38,5,0,1,0.11,0.13
29,30,53,2674,3.88,7,0,0,0.05,0.14
26,30,78,1769,4.97,6,0,0,0.09,0.15
34,36,11,733,4.08,7,1,0,0.06,0.07
24,28,49,1962,4.47,5,1,2,0.05,0.11
25,32,46,2684,4.59,11,0,0,0.07,0.09
36,28,58,2309,4.13,8,0,2,0.07,0.03
96,2,287,11279,2.26398197724191,23,3,9,0.4711822142983103,0.6328572474686391
39,28,79,555,3.86,8,1,1,0.05,0.18
36,20,43,2903,4.2,5,0,2,0.1,0.19
34,12,67,1312,3.97,7,0,2,0.06,0.11
16,17,46,2349,4.32,5,0,0,0.04,0.16
22,29,69,2459,4.5,9,1,0,0.12,0.15
25,28,21,1586,4.42,6,0,1,0.11,0.06
17,19,41,1305,4.67,6,0,1,0.13,0.03
25,25,13,2075,3.56,4,0,1,0.09,0.15
12,14,42,1099,3.62,10,0,1,0.05,0.07
11,29,52,1111,3.81,9,0,0,0.13,0.12
27,18,18,1738,4.98,6,1,0,0.05,0.11
36,17,60,2688,4.7,11,1,1,0.1,0.17
15,20,29,2449,4.89,6,1,0,0.04,0.14
26,25,48,2030,3.91,8,1,0,0.1,0.17
26,16,32,1060,4.36,9,1,2,0.13,0.16
29,24,50,1126,4.33,7,1,2,0.09,0.2
26,33,53,2110,4.35,7,1,1,0.08,0.18
32,38,44,1174,4.58,8,1,1,0.15,0.06
33,30,32,548,4.09,6,1,1,0.01,0.19
17,29,67,1886,4.52,5,0,1,0.06,0.08
22,32,57,2402,4.68,8,0,1,0.14,0.13
6,26,67,1126,3.93,7,1,0,0.1,0.19
33,15,66,776,4.92,11,1,2,0.09,0.06
25,24,48,2594,4.28,11,0,2,0.1,0.17
19,17,37,715,4.6,4,0,2,0.06,0.19
31,16,73,729,4.59,7,0,0,0.02,0.17
35,11,71,2870,4.35,5,1,0,0.05,0.17
19,39,71,2772,3.98,7,0,0,0.06,0.07
27,22,35,2185,4.5,8,1,2,0.08,0.09
28,39,60,1810,3.63,4,1,2,0.07,0.16
17,32,59,545,4.97,7,0,2,0.08,0.04
26,38,45,2336,3.78,8,1,2,0.04,0.18
37,15,35,1537,3.91,10,0,2,0.04,0.06
7,38,42,1132,4.93,8,0,0,0.06,0.12
94,2,286,7816,1.6054920114760352,19,5,8,0.7615732967512805,0.49610298824346666
27,29,17,1486,3.76,8,0,2,0.06,0.05
33,10,75,832,4.71,4,0,0,0.09,0.13
34,38,32,2379,3.88,8,0,2,0.05,0.13
29,27,79,2713,3.64,11,0,2,0.03,0.07
12,24,64,1006,3.84,4,0,2,0.13,0.04
20,32,52,616,4.83,9,1,0,0.04,0.12
12,19,30,1442,3.92,11,0,1,0.15,0.17
5,12,31,1135,4.54,10,1,1,0.15,0.06
9,14,18,2089,4.09,5,0,1,0.11,0.14
7,33,43,1962,3.89,5,1,1,0.08,0.09
5,38,68,2491,3.72,5,0,1,0.12,0.19
8,22,35,1368,4.96,9,1,0,0.13,0.03
39,17,10,1794,4.28,8,1,2,0.11,0.03
36,31,14,2234,3.67,4,1,1,0.02,0.04
38,30,50,2763,3.8,9,1,1,0.01,0.16
88,1,268,9533,1.4428580765892676,17,5,6,0.4996860258263971,0.5842556385810089
14,11,31,2763,4.32,5,1,2,0.04,0.17
25,18,77,926,3.77,6,1,1,0.04,0.15
31,26,57,1658,3.92,5,0,0,0.08,0.03
31,36,75,1566,4.68,8,1,2,0.08,0.06
6,27,25,783,4.13,10,0,2,0.11,0.19
17,22,62,1333,3.5,11,0,2,0.04,0.13
13,10,74,729,3.58,9,1,2,0.02,0.1
26,21,73,2419,4.16,6,0,1,0.1,0.14
30,29,77,2166,3.59,9,0,1,0.08,0.05
16,29,72,884,3.76,7,0,0,0.1,0.18
76,1,207,10625,2.056043513225685,17,5,7,0.7158883346668097,0.7460876309215401
18,14,54,1323,4.22,6,1,2,0.12,0.1
18,17,61,707,4.22,7,1,0,0.11,0.1
38,36,74,673,4.4,6,1,1,0.1,0.17
24,24,11,2323,4.68,11,1,2,0.01,0.08
15,36,58,1604,3.74,4,0,0,0.13,0.04
20,12,31,1541,3.76,6,0,0,0.06,0.05
35,15,38,1516,3.68,5,1,1,0.03,0.03
10,37,44,1207,4.91,10,1,2,0.12,0.11
23,22,33,1883,4.37,7,0,1,0.08,0.14
8,21,39,2391,3.64,11,0,0,0.01,0.19
8,28,51,1802,3.83,7,0,2,0.12,0.16
24,38,59,2944,4.59,9,1,0,0.07,0.12
14,27,69,1176,3.54,5,0,0,0.12,0.18
28,33,39,1161,4.59,11,1,2,0.12,0.18
39,10,21,2063,4.87,4,1,1,0.02,0.15
30,34,58,1760,3.58,6,0,0,0.1,0.03
25,36,55,2853,3.78,11,0,2,0.06,0.07
25,16,52,857,3.5,4,1,1,0.09,0.08
14,21,11,1808,3.66,5,1,1,0.02,0.2
8,19,63,1816,4.43,11,0,0,0.09,0.1
24,38,44,918,3.57,10,0,2,0.12,0.16
21,21,61,1991,4.14,6,1,1,0.15,0.17
83,1,162,11617,1.086893393795755,20,4,7,0.6522003490501389,0.7648777343502003
8,13,60,2093,4.86,7,1,1,0.03,0.02
33,28,35,1006,4.21,7,0,2,0.06,0.02
18,15,71,2181,3.71,7,0,2,0.01,0.17
7,34,70,2001,3.93,8,1,2,0.07,0.15
28,18,35,1885,4.51,8,0,0,0.14,0.12
20,29,46,811,3.67,7,0,1,0.04,0.06
8,19,39,2157,3.85,10,1,1,0.08,0.04
28,14,20,744,4.99,8,1,0,0.09,0.05
38,36,62,976,3.51,10,0,1,0.04,0.12
34,22,50,1114,3.73,8,1,1,0.06,0.12
22,18,14,2983,4.77,9,0,0,0.14,0.19
23,11,75,749,3.65,5,1,0,0.05,0.19
35,27,22,2095,3.55,9,1,0,0.1,0.12
23,30,72,2273,3.68,10,1,2,0.03,0.17
23,10,34,2429,4.54,6,0,0,0.1,0.17
26,33,53,2375,4.99,11,0,2,0.05,0.16
28,30,23,1010,4.39,7,0,1,0.04,0.1
16,21,78,2169,3.69,9,1,0,0.03,0.09
34,19,68,2372,3.78,9,1,0,0.02,0.07
35,11,65,1273,4.31,8,0,0,0.15,0.19
23,37,61,1865,4.57,5,0,0,0.07,0.17
34,18,75,1423,4.49,5,1,1,0.12,0.05
37,11,77,573,4.36,9,0,2,0.14,0.07
22,32,21,1308,4.98,6,0,1,0.04,0.12
32,33,77,1545,3.8,10,0,2,0.13,0.09
15,39,52,2767,3.76,5,1,1,0.11,0.06
37,31,15,2626,4.79,4,0,1,0.09,0.16
21,23,24,734,3.94,4,1,1,0.12,0.02
10,20,51,2704,4.0,7,0,0,0.03,0.08
8,32,40,2874,4.32,9,0,0,0.05,0.19
24,20,62,1141,4.07,6,1,2,0.03,0.16
31,26,15,1120,3.93,9,1,1,0.14,0.09
19,13,42,1484,4.88,4,1,0,0.02,0.19
10,22,38,1798,3.69,10,0,1,0.15,0.18
18,16,30,2117,4.11,6,0,1,0.03,0.03
15,25,63,2295,3.5,10,0,2,0.1,0.04
13,10,65,1359,4.71,7,0,2,0.1,0.09
30,22,30,2585,3.75,5,0,1,0.14,0.19
20,10,64,2665,4.66,5,0,1,0.06,0.17
9,20,67,2937,3.72,5,1,1,0.06,0.03
14,15,73,876,4.13,4,1,2,0.13,0.11
7,29,55,2397,4.59,10,0,2,0.15,0.15
17,12,31,875,3.91,6,1,0,0.01,0.07
34,21,69,2104,3.97,4,1,2,0.1,0.15
10,14,20,1094,4.5,11,0,1,0.04,0.09
21,18,56,1565,3.78,8,1,1,0.11,0.07
23,35,40,2507,4.93,6,0,2,0.12,0.09
39,35,27,1551,3.78,11,1,0,0.12,0.19
30,21,31,1128,4.62,7,0,2,0.07,0.18
9,39,65,2873,4.7,10,1,2,0.03,0.18
33,39,26,2032,4.06,4,1,1,0.09,0.19
24,37,47,2872,3.73,5,0,1,0.12,0.05
25,36,34,2330,3.75,5,0,0,0.14,0.18
14,19,41,1683,4.98,5,1,1,0.07,0.06
9,28,24,1245,4.59,4,0,0,0.04,0.17
10,14,22,1777,4.18,10,1,2,0.03,0.12
30,35,67,2451,3.89,4,0,0,0.12,0.06
8,14,59,2795,3.53,5,1,2,0.08,0.09
39,18,20,2945,4.51,5,1,2,0.1,0.1
5,36,22,2750,4.94,5,0,1,0.03,0.15
28,37,59,1825,3.66,8,0,2,0.01,0.13
10,35,47,1671,4.63,4,1,2,0.15,0.17
35,36,10,720,3.73,5,0,0,0.12,0.09
24,29,48,2371,4.69,7,1,1,0.07,0.15
75,3,267,7522,1.151134599318673,23,4,6,0.5822236164987502,0.40608374837270617
29,19,45,2843,4.57,10,0,1,0.14,0.03
25,30,41,2839,4.89,4,0,2,0.04,0.09
34,10,50,1183,4.43,7,0,2,0.12,0.18
28,31,24,1375,4.88,11,1,0,0.01,0.15
34,37,40,1554,3.85,10,0,1,0.13,0.1
26,25,15,2462,4.97,9,1,1,0.09,0.05
32,35,61,848,4.81,9,1,2,0.08,0.04
11,35,31,718,3.66,9,1,0,0.11,0.06
39,24,40,1522,4.12,10,0,2,0.02,0.06
32,32,55,949,4.89,4,1,1,0.04,0.09
18,26,76,1003,3.62,4,1,2,0.07,0.05
14,35,52,585,4.18,10,0,0,0.1,0.05
20,29,10,1788,4.59,4,0,0,0.03,0.17
20,34,53,1022,3.55,6,1,2,0.06,0.06
35,22,66,1129,4.63,10,0,1,0.05,0.12
29,10,18,2799,4.04,7,1,2,0.1,0.06
17,34,14,517,3.87,11,1,2,0.14,0.11
10,17,18,1768,4.36,8,1,0,0.03,0.07
13,14,54,1676,4.32,11,1,2,0.04,0.04
24,15,33,2132,4.81,8,0,0,0.09,0.2
22,32,51,999,4.51,6,1,0,0.07,0.1
25,29,31,957,4.13,4,0,2,0.11,0.09
8,39,69,614,4.48,11,0,0,0.05,0.06
37,23,46,1252,4.63,8,1,2,0.09,0.11
31,31,48,1268,4.91,7,1,1,0.06,0.13
88,4,181,9447,2.346084500856219,19,4,6,0.46697585833591776,0.5195690485030181
10,20,37,2900,4.32,5,0,0,0.11,0.11
71,1,244,9878,1.6214266445934462,18,4,8,0.7300344482920043,0.5864757403736932
22,20,69,821,4.84,7,0,1,0.06,0.11
36,22,69,2472,4.69,4,1,2,0.1,0.16
15,21,15,725,3.62,7,1,2,0.04,0.03
24,31,61,860,4.55,11,1,1,0.12,0.11
28,11,21,2054,4.31,9,0,1,0.05,0.09
19,30,28,1333,3.66,4,0,2,0.03,0.03
11,12,11,611,4.35,7,1,2,0.14,0.19
25,32,64,711,3.79,6,1,1,0.07,0.07
30,13,24,1756,4.56,10,0,0,0.1,0.12
18,26,73,1447,3.92,7,1,2,0.12,0.09
25,37,78,658,3.73,11,1,2,0.11,0.07
22,37,24,2408,3.62,11,1,1,0.09,0.11
9,31,52,1847,4.24,11,0,1,0.06,0.14
7,15,26,1771,3.8,10,0,0,0.14,0.16
27,16,33,1410,4.78,9,1,2,0.03,0.13
30,24,39,2951,3.5,11,0,1,0.13,0.11
28,20,76,903,4.77,8,0,1,0.11,0.16
23,33,60,2341,4.28,5,1,0,0.09,0.11
29,12,69,2190,4.88,6,1,0,0.06,0.2
25,39,12,1963,3.81,11,1,2,0.03,0.11
16,15,14,1756,3.65,7,1,1,0.07,0.08
37,35,37,692,4.44,11,1,1,0.12,0.1
8,11,20,1622,4.56,11,0,2,0.11,0.11
11,38,24,2474,4.06,4,0,0,0.1,0.07
26,23,57,2142,3.52,11,0,2,0.15,0.05
37,18,55,1499,4.11,6,0,2,0.15,0.1
21,27,37,2239,3.85,8,0,2,0.07,0.18
83,3,199,8399,2.3823071954216815,18,4,8,0.5180820590568509,0.42929891989545743
38,21,15,849,4.26,9,1,0,0.07,0.09
32,22,67,2863,4.55,5,1,1,0.13,0.16
26,35,77,2240,4.94,7,1,1,0.07,0.03
64,3,296,8038,1.189085826214764,19,3,6,0.780378634765128,0.618825921028158
38,21,76,2060,4.52,8,1,1,0.11,0.15
10,27,58,1151,3.85,8,1,0,0.1,0.12
10,18,60,1134,3.83,5,1,1,0.15,0.06
38,26,68,2301,4.45,5,1,1,0.09,0.04
5,30,15,1092,4.66,8,1,0,0.15,0.06
14,25,60,2991,4.97,10,0,1,0.05,0.16
25,26,47,1731,4.65,5,1,0,0.13,0.19
9,30,20,1255,3.74,4,0,1,0.06,0.15
6,33,61,1799,3.84,5,0,1,0.12,0.11
26,17,29,996,4.64,4,1,2,0.14,0.19
6,20,19,1272,4.29,11,0,1,0.1,0.17
14,33,35,2921,3.94,9,0,2,0.11,0.14
38,11,57,2098,4.21,5,1,1,0.14,0.03
91,2,153,9395,1.9590194194353963,17,4,5,0.6409061595292836,0.543551958248264
26,21,68,531,4.63,6,0,1,0.08,0.08
16,30,21,782,4.18,10,1,0,0.14,0.08
28,10,32,1335,4.97,10,1,1,0.1,0.09
14,32,48,1955,4.69,9,1,0,0.13,0.19
39,22,18,1185,3.51,9,0,0,0.1,0.15
36,31,34,961,3.67,10,0,2,0.11,0.14
11,30,26,1370,4.33,6,0,0,0.01,0.1
25,26,51,867,4.02,9,0,0,0.06,0.08
24,23,38,665,4.72,11,1,2,0.12,0.04
30,23,69,2228,4.84,4,1,1,0.07,0.1
8,25,76,1101,3.86,10,0,1,0.06,0.06
26,26,66,2673,4.64,4,0,0,0.14,0.09
19,15,23,537,4.3,7,0,2,0.09,0.05
25,35,48,847,4.09,11,0,1,0.04,0.08
19,37,25,1736,4.68,7,1,2,0.08,0.03
26,16,27,2521,4.35,5,0,2,0.08,0.02
32,35,29,1233,4.45,4,1,0,0.15,0.18
18,35,55,925,3.59,11,1,2,0.11,0.14
31,10,54,1770,4.38,10,1,0,0.08,0.13
32,34,13,1147,3.95,11,0,2,0.07,0.11
30,24,29,2833,4.24,6,1,0,0.14,0.15
6,29,20,819,3.83,6,1,1,0.1,0.15
73,3,162,10967,1.022324391933712,22,5,6,0.7311487929121705,0.6600893186566266
7,27,27,2772,3.72,10,0,0,0.08,0.06
12,39,48,2222,3.68,6,1,1,0.05,0.16
37,37,53,2256,3.78,5,0,0,0.14,0.2
39,35,27,2277,4.73,4,0,0,0.11,0.03
10,22,56,2039,3.55,9,0,0,0.06,0.09
27,33,40,1437,4.59,5,0,0,0.04,0.1
29,39,48,1264,3.58,9,1,0,0.03,0.17
23,11,47,2710,4.39,8,1,2,0.08,0.02
9,28,56,1152,4.66,8,0,1,0.08,0.13
15,24,79,2629,3.85,7,1,1,0.07,0.18
16,21,17,980,3.79,9,1,1,0.13,0.05
14,24,74,1015,3.93,4,1,2,0.15,0.04
12,34,22,2163,4.55,11,1,0,0.06,0.2
28,27,64,686,3.88,9,0,2,0.05,0.17
32,23,52,645,4.25,9,0,0,0.12,0.15
25,15,13,1505,3.7,6,0,2,0.07,0.09
12,21,69,651,4.19,4,1,1,0.04,0.17
13,29,21,1886,4.44,10,0,2,0.04,0.19
19,32,68,592,3.61,9,0,0,0.05,0.15
22,39,63,2349,4.72,9,0,1,0.01,0.09
24,39,53,1101,4.91,9,1,1,0.14,0.13
10,15,25,548,3.79,7,1,0,0.07,0.04
16,35,15,2402,4.64,10,1,0,0.02,0.05
6,39,23,2703,3.97,6,1,2,0.03,0.16
11,18,67,1274,4.52,5,1,0,0.06,0.03
20,39,40,1045,3.96,6,0,0,0.09,0.03
7,34,50,1963,4.79,9,0,0,0.11,0.11
7,35,44,1760,4.02,9,1,1,0.05,0.05
31,13,19,1149,4.77,10,0,0,0.14,0.07
37,26,39,2523,4.65,8,0,1,0.12,0.09
32,11,53,1580,3.79,5,0,1,0.13,0.11
5,25,64,674,3.74,9,0,1,0.06,0.07
12,33,27,1737,4.67,10,1,0,0.06,0.11
36,23,48,2574,4.09,6,0,0,0.09,0.09
8,35,51,2441,4.92,10,1,1,0.07,0.03
34,17,63,1642,4.91,5,1,2,0.05,0.18
10,23,39,646,4.54,8,1,2,0.15,0.07
23,11,29,1367,4.25,8,1,2,0.13,0.13
36,25,51,2812,3.79,4,0,0,0.04,0.12
13,13,14,2805,4.82,9,1,1,0.13,0.06
16,10,59,2383,3.62,10,0,0,0.09,0.03
15,32,50,1242,4.06,8,0,1,0.01,0.17
20,29,48,2022,3.98,8,1,2,0.06,0.11
5,36,66,1209,4.94,8,1,0,0.01,0.09
25,23,66,1850,3.68,9,1,2,0.02,0.16
34,17,46,1593,4.84,10,1,1,0.04,0.03
17,34,16,2452,4.18,7,1,2,0.08,0.16
38,37,14,2105,3.57,10,0,1,0.06,0.09
8,34,60,2181,4.59,10,0,0,0.03,0.12
32,12,17,2354,3.65,10,1,0,0.07,0.16
35,14,65,2766,3.86,8,1,2,0.05,0.12
31,15,20,1060,4.7,10,1,0,0.07,0.03
9,31,31,1391,3.73,4,1,1,0.03,0.15
29,35,20,1096,3.99,5,1,1,0.1,0.16
7,17,69,2890,4.04,7,1,2,0.02,0.1
37,15,24,949,4.38,5,0,1,0.06,0.1
8,15,47,2883,4.68,5,0,0,0.14,0.07
29,13,10,2551,3.85,11,1,2,0.07,0.14
62,3,237,8375,1.5482223896583749,23,3,6,0.7593284388033065,0.4974277010132844
38,39,52,1749,3.83,10,1,0,0.02,0.14
30,39,31,1673,4.07,4,1,0,0.09,0.16
9,33,12,2785,4.3,10,0,0,0.14,0.17
39,28,23,2183,3.52,7,0,2,0.05,0.06
32,16,11,2650,4.67,9,1,2,0.07,0.09
33,12,70,1698,4.89,6,0,1,0.09,0.1
13,17,41,1509,4.77,8,1,2,0.02,0.12
10,10,47,2271,3.56,5,0,2,0.14,0.03
23,10,55,2207,4.29,5,0,1,0.08,0.13
15,23,51,939,4.72,4,1,2,0.03,0.04
6,15,15,1808,4.02,9,1,1,0.06,0.17
13,19,50,2772,4.85,4,0,1,0.06,0.19
